gid,aBlkCnt,bBlkCnt
179,3,3
288,5,5
375,5,5
430,3,2
509,3,4
581,2,2
638,7,4
703,3,1
811,3,4
926,3,3
985,6,6
1077,6,5
1141,1,1
1198,5,5
1290,2,2
1368,5,5
1448,6,5
1534,6,6
1621,9,11
1695,1,3
1765,6,4
1866,3,3
1945,5,3
2028,4,4
2096,2,2
2161,1,1
2222,2,2
2308,3,2
2388,5,4
2464,2,2
2541,6,5
2685,2,2
2760,3,3
2844,2,2
2922,1,2
3009,2,1
3086,5,3
3215,3,3
3286,4,3
3350,4,3
3442,2,1
3537,4,5
3604,2,1
3677,2,2
3777,2,1
3851,2,2
3932,1,1
3934,2,2
4021,6,6
4119,4,4
4203,6,5
4304,6,3
4396,2,2
4586,9,7
4775,5,4
4896,3,3
4948,3,2
5037,1,1
5110,3,2
5191,3,4
5334,4,4
5400,4,3
5469,1,2
5546,3,3
5617,9,9
5697,3,3
5758,4,2
5852,10,9
5939,2,2
6014,2,1
6084,5,5
6170,3,3
6237,5,4
6312,3,2
6404,6,4
6467,4,4
6611,4,4
6686,5,3
6769,7,5
6853,5,4
6930,8,6
7072,7,6
7151,6,4
7247,5,2
7303,4,5
7378,5,6
7529,4,2
7598,8,6
7739,5,4
7807,1,2
7877,8,6
7949,6,6
8025,5,3
8118,2,3
8206,5,5
8278,2,3
8358,3,1
8454,7,7
8555,3,4
8620,4,3
8690,3,3
8772,1,2
8855,13,13
9089,7,6
9183,5,4
9253,4,3
9331,3,3
9440,10,9
9583,7,4
9655,4,2
9746,7,4
9894,5,5
9962,2,2
10025,3,2
10088,3,4
10173,7,7
10247,4,3
10322,2,2
10402,3,2
10473,6,5
10553,7,3
10633,2,2
10726,3,1
10791,6,6
10902,5,6
10993,3,3
11082,5,5
11233,5,4
11307,4,3
11385,8,6
11474,4,4
11560,5,6
11632,2,2
11702,2,3
11779,8,6
11911,3,3
12016,6,5
12094,5,4
12162,2,2
12233,6,6
12291,3,3
12352,10,7
12537,3,3
12606,3,3
12676,4,4
12768,2,1
12844,6,4
12927,2,2
13007,1,1
13058,4,4
13267,4,4
13353,3,2
13430,1,1
13455,3,4
13532,2,1
13610,3,3
13677,3,4
13767,4,3
13834,4,1
13900,2,2
13969,8,8
14090,5,5
14162,1,1
14250,2,2
14332,5,4
14412,3,2
14525,3,3
14595,4,4
14684,6,6
14796,5,4
14874,1,3
14952,2,1
15004,5,3
15088,2,4
15166,6,6
15343,2,1
15417,1,2
15476,7,6
15608,1,1
15697,5,6
15784,1,1
15870,5,4
16006,2,2
16062,1,1
16122,5,4
16217,4,4
16317,6,4
16403,5,5
16497,2,2
16560,4,3
16627,2,2
16700,3,3
16754,1,1
16825,3,4
16977,6,5
17060,4,4
17141,1,1
17209,7,7
17276,5,5
17332,2,2
17399,4,2
17477,9,9
17576,4,4
17659,9,8
17827,4,4
17930,4,4
17985,2,2
18114,6,6
18206,1,2
18281,5,4
18341,2,3
18416,5,5
18479,1,1
18551,9,10
18634,3,4
18717,2,2
18792,5,4
18869,9,8
19095,2,2
19168,7,6
19241,4,3
19323,14,12
19507,6,9
19619,6,6
19789,3,3
19907,6,6
